Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,10uF,
"C2, C3, C7",1206,3,0.1u,
C4,CP_Radial_D5.0mm_P2.00mm,1,10uF,
C5,1206,1,"0,22u",
C6,1206,1,1u,
"C8, C9",CP_Radial_D4.0mm_P1.50mm,2,22uF,
D1,1206,1,CHRG,
D2,1206,1,STDBY,
D3,D_DO-41_SOD81_P10.16mm_Horizontal,1,5V,
"D4, D5",D_SMA,2,SS34,
"H1, H2, H3, H4",MountingHole_3.2mm_Pad,4,MountingHole_M3_3.2mm_Pad,
J1,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,SOLAR IN,
J2,BatteryHolder_MPD_BH-18650-PC,1,18650,
J3,JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Battery_AUX,
J5,RJ45_Amphenol_RJHSE538X,1,SENSORS,
J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C,
J7,PinSocket_1x05_P2.54mm_Vertical,1,RYLR998,
J8,PinSocket_1x04_P2.54mm_Vertical,1,Breakout,
L1,L_APV_APH0420,1,4.7uH,
Q1,SOIC-8_3.9x4.9mm_P1.27mm,1,AO4842,
Q2,SOT-23-6_Handsoldering,1,DMP2240UDM-7,
"R1, R14, R15",1206,3,5.1K,
"R10, R7, R8, R9",1206,4,10K,
R11,1206,1,150,
"R12, R13",1206,2,4.7K,
R16,1206,1,5K,
R17,1206,1,150K,
R18,1206,1,20K,
R2,1206,1,100,
R3,1206,1,1K,
"R4, R5",1206,2,330,
R6,1206,1,18K,
SW1,Slide_Switch_SPDT_P3mm_10x5x10mm,1,LED_ENABLE,
SW2,SW_PUSH_6mm,1,EN/RST,
SW3,SW_PUSH_6mm,1,BOOT,
SW4,Slide_Switch_SPDT_P3mm_10x5x10mm,1,POWER_SELECT,
SW6,Slide_Switch_SPDT_P3mm_10x5x10mm,1,POWER,
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056,
U2,SOT-23-6_Handsoldering,1,DW01A,
U3,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U4,SOT-23-6,1,MT3608,
U5,ESP32-S3-WROOM-1U,1,ESP32-S3-WROOM-1U,
U6,SOT95P280X145-6N,1,TPD3S014DBVR,
